,K01938,K01491,K13990,K00297,K00122,acs,K00625,K00925,apr,K00958,dsr,nif,nar,nap,nir,nrf,ure,glt,K01915,K03320,K00926,arg,mcr
272_06-AUS110-Kalotermitidae-Cryptotermes_primus,1.160253251,2.061398385,1.850713867,1.833338523,1.854710324,2.055862602,2.297637364,1.906347327,0,0.75034151,0.917224887,2.623861073,0,0,0.783429096,0.913028447,1.497960137,2.392869336,1.627785209,1.747552771,1.336703971,2.394826252,0
272_08-AUS117-Kalotermitidae-Cryptotermes_primus,1.774034076,2.039795679,2.051670714,2.109608491,2.150181373,2.074416377,2.216478495,1.980856783,0.630773241,1.290284648,0,2.716369586,1.65299003,2.222153425,1.646696595,0,1.505524315,2.534585526,2.013049471,1.953153232,1.184498936,2.392785883,0
272_71-MAL39-Kalotermitidae-Cryptotermes,1.762549937,2.323809723,2.115070993,2.289683956,2.155792599,2.446967457,2.514265226,2.39049391,0,0.917542321,0.436311204,2.889846539,0,0.453548425,1.602168996,0,1.58332961,2.638983917,2.136446425,2.234845153,0.824526021,2.515376468,0
272_07-AUS111-Kalotermitidae-Kalotermitidae_sp_F,1.355308852,1.666210224,1.177281273,1.869460896,1.430010794,1.911574677,2.139972931,1.806946072,1.224905666,0,0,2.381035898,1.336373307,1.579020546,1.21778787,0,0.928920172,2.401132497,1.572989589,1.548859921,1.267668981,2.104903363,0
272_105-US10-Kalotermitidae-Incisitermes_snyderi,1.345205294,1.191662465,1.367933186,1.220291761,1.285101195,1.679832229,1.723567121,1.387799774,0,0.656323344,0,2.228522144,1.41773415,1.542378496,1.31872367,1.171316825,0.586981591,1.749392654,1.433062214,1.550397524,0.899689647,1.700315984,0
272_49-KE15_30-Kalotermitidae-Bifiditermes_mutubae,1.222519225,1.412601448,1.517898359,1.06555757,1.331113884,0,0,1.381970079,0,0,0,1.997219485,0,0,0,0,0,1.558297224,1.445779536,1.544815541,0,0,0
272_51-M16-Kalotermitidae-Tauritermes,2.032666035,2.337524399,2.074156884,2.145825714,2.171188362,2.703614013,2.322449916,2.031328975,0,1.542034677,2.137304054,2.650708445,0,0,1.975062901,1.597652083,2.057226796,2.621811638,2.100234355,2.234924997,0,2.575179076,0
301_19-AUS89-Kalotermitidae-Kalotermitidae_sp_A,1.679452364,2.011793775,1.887687513,1.767442094,1.764359148,2.327210642,2.102912894,1.982484745,1.253313042,0.806828014,0.830523038,2.740152747,0.812608575,1.023568248,1.663049683,0,1.702170192,2.493204299,1.857964514,2.008230349,1.489751866,2.248432791,0
229_05-MD_RNA_1-Mastotermitidae-Mastotermesdarwiniensis,2.104363409,2.459481254,2.08204766,2.280626841,2.133465621,2.505611011,2.393932645,2.285109744,0.417167498,0,0.986439708,2.85744692,1.132863726,1.644944833,1.812967333,0.958388075,1.393298553,2.672962568,2.500063155,2.358616193,1.476605383,2.675157475,0
229_08-Cryp-Cryptocercidae-Cryptocercus_punctulatus,1.562095043,2.418469443,1.800622801,2.458563345,1.835680041,2.004054046,2.4717209,1.977814761,1.11706892,0.614100525,0.553384272,2.858033045,0.39887482,0.958216452,1.748418313,0.544334991,2.64202329,2.411189092,1.821653738,2.234562836,0.838473484,2.52516457,0.926073296
